critics_score,audience_score,title,release_dates,cast,year,alternate_ids
-1,0,Untitled Woody Allen Project,{},"Joaquin Phoenix,Emma Stone,Michael Stuhlbarg,Cate Blanchett,Alec Baldwin,",2016,
-1,0,Untitled Blade Runner Project,{},,2016,
-1,0,Untitled Cold War Thriller,{},"Tom Hanks,",2016,
-1,96,Warcraft,{'theater': '2016-03-11'},"Ben Foster,Toby Kebbell,Rob Kazinsky,Daniel Wu,Clancy Brown,",2016,{u'imdb': u'2250912'}
-1,68,Zorro,"{'dvd': '2003-07-17', 'theater': '1975-03-06'}","Stanley Baker,Alain Delon,Moustache,Ottavia Piccolo,Adriana Asti,",2016,
-1,0,Zootopia,{},,2016,{u'imdb': u'3416532'}
-1,100,The Avengers: Age of Ultron,{'theater': '2015-05-01'},"Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson,",2015,
-1,98,Avatar 2,{'theater': '2016-12-31'},"Sam Worthington,Zoe Saldana,Stephen Lang,Sigourney Weaver,",2015,{u'imdb': u'3498820'}
-1,97,Night At The Museum 3,{'theater': '2014-12-19'},"Ben Stiller,Robin Williams,Dan Stevens (IV),",2015,
-1,99,Ant-Man,{'theater': '2015-07-17'},"Paul Rudd,Michael Douglas,Patrick Wilson,Matt Gerald,",2015,
-1,99,Assassin's Creed,{'theater': '2015-08-07'},"Michael Fassbender,Justin Kurzel,",2015,
-1,67,Alvin and the Chipmunks 4,{'theater': '2015-12-11'},"Justin Long,Matthew Gray Gubler,Amy Poehler,Jason Lee,Ross Bagdasarian Jr,",2015,
-1,98,The Avengers: Age Of Ultron An IMAX 3D Experience,{'theater': '2015-05-01'},,2015,{u'imdb': u'3183660'}
-1,99,Run All Night,{'theater': '2015-02-06'},"Ed Harris,Liam Neeson,Joel Kinnaman,Common,Natalie Martinez,",2015,
-1,97,San Andreas: 3D,{'theater': '2015-06-05'},"Dwayne Johnson,",2015,
-1,99,San Andreas,{'theater': '2015-06-05'},"Alexandra Daddario,Dwayne Johnson,",2015,
-1,100,Untitled Peter-pan Adventure,{'theater': '2015-07-17'},,2015,
-1,0,Untitled Peter-pan Adventure In 3D,{'theater': '2015-07-17'},,2015,
-1,0,Zhong Kui fu mo: Xue yao mo ling (Zhong Kui: Snow Girl and the Dark Crystal),{'theater': '2015-02-19'},"Bingbing Li,Kun Chen,Winston Chao,Bei-Er Bao,Summer Jike,",2015,
-1,0,Untitled Armored Car Project,{'theater': '2015-08-14'},"Zach Galifianakis,Owen Wilson,Kristen Wiig,",2015,
-1,95,B.O.O.: Bureau of Otherworldly Operations,{'theater': '2015-06-05'},"Seth Rogen,",2015,
-1,97,Batman vs. Superman,{'theater': '2016-05-06'},"Ben Affleck,Henry Cavill,Amy Adams,Diane Lane,Laurence Fishburne,",2015,{u'imdb': u'3183660'}
-1,99,Bond 24,{'theater': '2015-11-06'},"Daniel Craig,",2015,
-1,90,Beware the Night,{'theater': '2014-07-02'},"Eric Bana,Edgar Ramirez,Olivia Munn,Sean Harris,Joel McHale,",2015,{u'imdb': u'1292566'}
-1,95,Paul Blart: Mall Cop 2,{'theater': '2015-04-17'},"Kevin James,Molly Shannon,David Henrie,Neal McDonough,Raini Rodriguez,",2015,{u'imdb': u'1502397'}
-1,98,Live By Night,{'theater': '2015-12-25'},"Ben Affleck,",2015,{u'imdb': u'3498820'}
-1,96,The Jungle Book,{'theater': '2015-10-09'},"Idris Elba,",2015,
-1,92,Point Break,{'theater': '2015-08-07'},"Ray Winstone,Luke Bracey,Edgar Ramirez,Matias Varela,Clemens Schick,",2015,
-1,98,Untitled Next Bourne Chapter,{'theater': '2015-08-14'},,2015,{u'imdb': u'3416532'}
-1,97,The Best Exotic Marigold Hotel 2,{'theater': '2015-03-06'},"Judi Dench,Maggie Smith,Bill Nighy,Dev Patel,Penelope Wilton,",2015,{u'imdb': u'1790809'}
-1,100,The Boy Next Door,{'theater': '2015-01-23'},"Alain Chanoine,Mike Coleman,Neill Fearnley,Frances Flanagan,Barclay Hope,",2015,{u'imdb': u'2277860'}
-1,0,Metropolitan Opera: Iolanta/duke Bluebeard's Castle,{'theater': '2015-02-14'},"Anna Netrebko,Mikhail Petrenko,",2015,{u'imdb': u'2386490'}
-1,99,Crimson Peak,{'theater': '2015-10-16'},"Charlie Hunnam,Jessica Chastain,Mia Wasikowska,Tom Hiddleston,Burn Gorman,",2015,
-1,99,Cinderella,{'theater': '2015-03-13'},"Lily James,Cate Blanchett,Richard Madden,Helena Bonham Carter,Derek Jacobi,",2015,
-1,100,Chappie,{'theater': '2015-03-06'},"Sharlto Copley,Sigourney Weaver,Hugh Jackman,Jose Pablo Cantillo,Brandon Auret,",2015,{u'imdb': u'1790809'}
-1,100,Cyber,{'theater': '2015-01-16'},"Holt McCallany,William Mapother,Ritchie Coster,Viola Davis,Tang Wei,",2015,
-1,98,Insidious: Chapter 3,{'theater': '2015-04-03'},"Anne Bergstedt Jordanova,",2015,
-1,100,The Conjuring 2: The Enfield Poltergeist,{'theater': '2015-10-23'},"Vera Farmiga,Patrick Wilson,",2015,
-1,100,Miss Peregrine's Home For Peculiar Children,{'theater': '2015-07-31'},,2015,{u'imdb': u'2277860'}
-1,98,Far From the Madding Crowd,{'theater': '2015-05-01'},"Carey Mulligan,Tom Sturridge,Juno Temple,Michael Sheen,Matthias Schoenaerts,",2015,{u'imdb': u'2267968'}
-1,100,Untitled Christmas Eve Project,{'theater': '2015-12-11'},"Joseph Gordon-Levitt,Seth Rogen,",2015,{u'imdb': u'3183660'}
-1,20,The Metropolitan Opera: Les Contes d'Hoffmann,{'theater': '2015-01-31'},"Anna Netrebko,Alan Held,James Levine,",2015,
-1,0,The Metropolitan Opera: Cavalleria Rusticana/pagliacci,{'theater': '2015-04-25'},,2015,
-1,0,Untitled New Line Comedy,{'theater': '2015-11-13'},,2015,
-1,0,Untitled Reese Witherspoon/sofia Vergara Comedy,{'theater': '2015-05-08'},,2015,
-1,94,The Good Dinosaur,{'theater': '2015-11-25'},,2015,{u'imdb': u'2386490'}
-1,94,Don't Mess With Texas,{'theater': '2015-05-08'},"Reese Witherspoon,Sofia Vergara,Richard T. Jones,John Carroll Lynch,Rob Kazinsky,",2015,{u'imdb': u'1292566'}
-1,99,Star Wars: Episode VII,{'theater': '2015-12-18'},"Kenny Baker,Anthony Daniels,Harrison Ford,Mark Hamill,Peter Mayhew,",2015,
-1,98,Entourage,{'theater': '2015-06-12'},"Kevin Connolly,Kevin Dillon,Debi Mazar,Jeremy Piven,Billy Bob Thornton,",2015,
-1,100,Everest,{'theater': '2015-09-18'},"Jake Gyllenhaal,Josh Brolin,Jason Clarke,John Hawkes,Keira Knightley,",2015,
-1,0,English National Opera: La Traviata,{'theater': '2015-03-11'},"Elizabeth Zharoff,Ben Johnson,Anthony Michaels-Moore,Clare Presland,Paul Hopwood,",2015,
-1,0,English National Opera: The Pirates Of Penzance,{'theater': '2015-05-19'},,2015,
-1,100,Theory of Everything,{'theater': '2014-11-07'},"Simon McBurney,David Thewlis,Emily Watson,Felicity Jones,Charlie Cox,",2015,
-1,100,Tomorrowland The IMAX Experience,{'theater': '2015-05-22'},"George Clooney,Hugh Laurie,Raffey Cassidy,Thomas Robinson,Britt Robertson,",2015,
-1,0,East of Eden,{},"Jennifer Lawrence,",2015,
-1,98,Fast & Furious 7,{'theater': '2015-04-10'},"Vin Diesel,Paul Walker,Djimon Hounsou,Kurt Russell,Jason Statham,",2015,
-1,98,The Fantastic Four,{'theater': '2015-06-19'},"Michael B. Jordan,Kate Mara,Miles Teller,Jamie Bell,",2015,
-1,97,Fury,{'theater': '2014-11-14'},"Brad Pitt,Shia LaBeouf,Jason Isaacs,Michael Pena,Logan Lerman,",2015,{u'imdb': u'2267968'}
-1,96,Fifty Shades of Grey,{'theater': '2015-02-13'},"Jamie Dornan,Dakota Johnson,Luke Grimes,Jennifer Ehle,Marcia Gay Harden,",2015,
-1,99,Frankenstein,{'theater': '2015-10-02'},"Daniel Radcliffe,James McAvoy,Jessica Brown-Findlay,",2015,
-1,98,Focus,{'theater': '2015-02-27'},"Will Smith,Rodrigo Santoro,Margot Robbie,Kristen Stewart,",2015,
